"FeatureID","GeneName","PearsonR","CorrelationT","Pvalue","MeanExpression","EntrezID"
"B2RXA1","Plcxd2",1,Inf,0,13.8105705283945,"433022"
"Q8BHE3","Atcay",0.960289870714276,8.43076870307766,0.000151921359473942,18.8482274962975,"16467"
"Q8BGF9","Slc25a44",0.950416914503767,7.48616302175172,0.00029352748195191,16.7621416261112,"229517"
"P49962","Srp9",0.935819240276396,6.50328470604942,0.000629522832099977,19.144365895864,"27058"
"Q8C7K6","Pcyox1l",0.928799991451748,6.13923428646726,0.000854860750419614,19.2483058829415,"240334"
"Q9CQY1","Atg12",0.913243192129187,5.49066817453844,0.00152811148813036,15.4539895792299,"67526"
"P62858","Rps28",0.910460850159013,5.3921423220155,0.00167628634934828,19.9861485328848,"54127"
"Q8BLQ7","Slc7a4",0.908872962647567,5.33785374917164,0.00176488744819724,12.6387334097311,"224022"
"Q9QYI5","Dnajb2",0.901551941382631,5.10397694002021,0.00221274074116898,19.7177454386286,"56812"
"Q6P6I6","Polr2m",0.897089397588454,4.97321678146859,0.0025187377725459,12.7634086086683,"28015"
"Q8R5J9","Arl6ip5",0.884559309049331,4.64534762357136,0.00352076006419319,19.2350599556246,"65106"
"Q61609","Slc20a1",0.882936082959836,4.60654773432846,0.00366672019150706,14.2479310726253,"20515"
"Q64010","Crk",0.879536273614517,4.52768159496284,0.0039849443119445,18.4981995692189,"12928"
"Q9R0M4","Podxl",0.879008405440178,4.5157167370046,0.0040358915072116,14.2967625850542,"27205"
"Q9CQH7","Btf3l4",0.875857944120972,4.44579935533982,0.00434869244181868,18.8104307966504,"70533"
"P63325","Rps10",0.874589878145116,4.41835536838032,0.00447886363407725,20.4328470765,"67097"
"Q80TN4","Dnajc16",0.87381435053424,4.40176176808431,0.00455969484397888,19.7709817504307,"214063"
"Q68FE6","Ripor1",0.873480128542913,4.39465450743227,0.00459481703533376,19.6419351331434,"75687"
"Q9Z2W8","Gria4",0.87049346260532,4.33228676403903,0.00491641806035575,16.4628805502089,"14802"
"Q80ZF8","Adgrb3",0.863450089164641,4.19283981647269,0.00573115635179916,17.0698400842116,"210933"
"Q8BME9","Cbln4",0.861802435279758,4.16165764127185,0.00593342558663654,14.9091702624768,"228942"
"Q04573","Npy1r",0.860145184181058,4.13081032060451,0.00614142733647057,16.6117400032459,"18166"
"Q8CHP5","Pym1",0.860086581123492,4.12972880373021,0.00614886674430622,15.5360008241253,"78428"
"Q9CQ40","Mrpl49",0.849177585116181,3.93869082946144,0.00763610267715626,15.6019982897514,"18120"
"O35387","Hax1",0.847534708952127,3.91157193455365,0.0078781107850922,15.1492666831306,"23897"
"Q8CAB8","Castor2",0.846428429154845,3.89353617793274,0.0080437946219877,16.6308825804354,"80909"
"Q80ZE5","Paqr8",0.845376791205735,3.87655614059016,0.00820333726738294,10.9359211148052,"74229"
"O54949","Nlk",0.843170237169472,3.84143886508801,0.00854460586546688,13.2192024522779,"18099"
"Q9D1D4","Tmed10",0.842976084111168,3.83838140883859,0.00857505851961256,19.2076537494731,"68581"
"Q61818","Rai1",0.840295949932312,3.79669836615323,0.00900250831953091,13.5333835212655,"19377"
"Q9DCB8","Isca2",0.835190698857259,3.71988758499409,0.00985367906109041,17.0795706123054,"74316"
"Q7M753","Pank2",0.827440929017765,3.6092922894436,0.0112404802250368,15.0592089363134,"74450"
"P58468","Slx9",0.827050276187226,3.60389683715145,0.0113134670441813,9.93587652436599,"108707"
"Q921K9","Bcl7b",0.825499336111848,3.58263836327058,0.011606189452105,6.87060074235967,"12054"
"P35980","Rpl18",0.821380410060592,3.52740309231157,0.0124066974557521,20.2739735457028,"19899"
"Q91V01","Lpcat3",0.821089190781966,3.52356316918582,0.0124645762253001,16.2161484711755,"14792"
"O54984","Get3",0.818405577653545,3.48857107659564,0.0130059677606186,19.0369111515864,"56495"
"Q9CPX6","Atg3",0.818271669102808,3.48684333845394,0.0130333635818179,17.5566632376247,"67841"
"O35166","Gosr2",0.816812693329073,3.46812974891418,0.0133342099101686,16.7562780153185,"56494"
"Q8QZV7","IntS13",0.815991846158697,3.45768927721062,0.013505377960309,8.83446867492067,NA
"Q8K183","Pdxk",0.815117500597715,3.44663718224053,0.0136892174677511,20.5950884309717,"216134"
"P97390","Vps45",0.81463183397756,3.4405285277853,0.0137920107323427,18.197503989582,"22365"
"P56942","Pmch",0.814507328248249,3.43896598081722,0.0138184408946218,10.1732363849955,"110312"
"P28828","Ptprm",0.814100565285839,3.43387093331066,0.0139050110536748,12.8091788995434,"19274"
