"GeneID","GeneName","CON-R1-1","CON-R1-2","CON-R1-3","Asphyxia-R1-1","Asphyxia-R1-2","Asphyxia-R1-3"
"ENSMUSG00000000001","Gnai3",9.91875568446404,9.68670756334417,9.86727361386671,9.75330536741269,9.84618497384816,9.66225859493315
"ENSMUSG00000000028","Cdc45",7.48413387908173,7.35830421129398,7.32725669778244,7.41315923716746,7.28884658797038,7.36142347219507
"ENSMUSG00000000056","Narf",10.4084052577131,10.1454488007506,10.2958098424982,10.4432881552436,10.3159591323174,10.3585184803318
"ENSMUSG00000000058","Cav2",9.55417720119314,8.97939705910982,9.5298491642464,9.41524902522312,9.41466703372372,9.29759758460352
"ENSMUSG00000000078","Klf6",10.0085181942847,9.97291245684613,10.3559768027749,10.3038215720949,10.4556766589595,10.3332822705268
"ENSMUSG00000000085","Scmh1",9.72920415601234,9.66840310638495,9.68476518999469,9.58149704106504,9.58888166966674,9.6556964111902
"ENSMUSG00000000088","Cox5a",11.2278875754401,11.4234502468543,11.3172025025925,11.3411946922934,11.3508229825564,11.3459749201059
"ENSMUSG00000000093","Tbx2",7.6513950225428,7.57045678091286,7.3715661962994,7.41315923716746,7.46398194163379,7.58659991901102
"ENSMUSG00000000120","Ngfr",7.26793337386992,9.20091620101204,7.3715661962994,7.30445236893397,7.50174417291039,7.32253583030221
"ENSMUSG00000000125","Wnt3",7.36290655538053,7.57045678091286,7.27963184444736,7.20829173771797,7.43770136249494,7.38613349671782
"ENSMUSG00000000126","Wnt9a",8.48625040837441,7.98554938180567,8.95349023132589,8.84064446035297,8.69794386065453,8.76108923469037
"ENSMUSG00000000127","Fer",8.85654140689482,8.6616316470375,8.65251729016933,8.76105906581918,8.90271957982278,8.80791630925625
"ENSMUSG00000000131","Xpo6",10.6665988161194,10.6264654310025,10.7458191646991,10.5768171283292,10.6666814475889,10.7822685494565
"ENSMUSG00000000134","Tfe3",9.51424411627025,9.58025878879634,9.6318022161405,9.57776120114516,9.6626322649404,9.69461591568262
"ENSMUSG00000000142","Axin2",9.6541045288236,9.30489676026262,9.55655377031898,9.42780787881224,9.35055036608362,9.4255822640225
"ENSMUSG00000000148","Brat1",8.70239988443479,8.75684406997277,8.63242995902801,8.92174022369873,8.72149226356082,8.92517636533039
"ENSMUSG00000000149","Gna12",11.0585229348874,11.1278368227085,10.8864487300197,10.707395288474,10.7868614209366,10.8702773990347
"ENSMUSG00000000167","Pih1d2",7.36290655538053,7.28980404882688,7.10638499917633,7.11249626476401,7.28884658797038,7.0527745281263
"ENSMUSG00000000168","Dlat",11.1738417198598,11.1175816355955,11.0583268350567,11.1939934885533,11.2254827172932,11.1737651854625
"ENSMUSG00000000171","Sdhd",10.5046971132323,10.5646131392538,10.5839739854394,10.5731171944688,10.5090160446432,10.4939633312844
"ENSMUSG00000000184","Ccnd2",11.1100738983466,10.6585029644939,11.2003290225093,10.9418020668442,10.8293450935785,10.8533856342925
"ENSMUSG00000000194","Gpr107",10.1069858583563,10.2435216449866,10.2075763909404,10.2327335327,10.3110576985288,10.2547760605681
"ENSMUSG00000000197","Nalcn",10.8925470462862,11.2923688824993,11.1474625285458,11.2780022420656,11.3520109461881,11.3196061641733
"ENSMUSG00000000202","Btbd17",9.09944723803336,9.16280770129074,9.16120789410194,9.10781058393597,9.07401835312181,9.18908523811765
"ENSMUSG00000000214","Th",7.25056149306656,8.03456480901767,9.03630856460375,9.18208350847553,9.22861496521529,8.27459300215576
"ENSMUSG00000000223","Drp2",10.4993964899964,10.3110210509392,10.6782887121371,10.7684750223425,10.6705042944666,10.742284853986
"ENSMUSG00000000247","Lhx2",10.5215281951204,9.98901023114608,10.4422640228475,10.0404060219708,10.1237255888823,9.940488641954
