"GeneName","GeneID","Accession","PearsonR","PearsonP","SpearmanRho","SpearmanP","PearsonPadj","SpearmanPadj"
"Tgs1","ENSMUSG00000028233","Q923W1",0.867948620352169,0.025005022919106,1,0,0.943577889270977,0
"Ogn","ENSMUSG00000021390","Q62000",-0.900551415465958,0.0143432571557052,-1,0,0.943577889270977,0
"Msi1","ENSMUSG00000054256","Q61474",-0.863646165483392,0.0266209819335265,-1,0,0.943577889270977,0
"Smpd1","ENSMUSG00000037049","Q04519",0.907702180752437,0.012385193790319,1,0,0.943577889270977,0
"Inpp5a","ENSMUSG00000025477","Q7TNC9",-0.900717154905997,0.0142963053562761,-1,0,0.943577889270977,0
"Tle3","ENSMUSG00000032280","Q08122",0.918126546772269,0.0097804838971761,1,0,0.943577889270977,0
"Rapgefl1","ENSMUSG00000038020","Q68EF8",-0.898708040433724,0.0148704607634986,-1,0,0.943577889270977,0
"Vasp","ENSMUSG00000030403","P70460",0.897383294055863,0.0152549958880874,1,0,0.943577889270977,0
"Ttbk2","ENSMUSG00000090100","Q3UVR3",0.95930958924009,0.00244987854132244,1,0,0.802054158795633,0
"Pdcd4","ENSMUSG00000024975","Q61823",-0.982830633282709,0.000439650075838467,-1,0,0.802054158795633,0
"Abl2","ENSMUSG00000026596","Q4JIM5",-0.976091518827814,0.000850589979066594,-1,0,0.802054158795633,0
"Arpin","ENSMUSG00000039043","Q9D0A3",-0.962185860366653,0.00211782834206747,-1,0,0.802054158795633,0
"Srgap3","ENSMUSG00000030257","Q812A2",-0.801526096218826,0.0551787045825526,-1,0,0.943577889270977,0
"Szrd1","ENSMUSG00000040842","Q6NXN1",-0.843944551032114,0.0346297219001901,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"S100a1","ENSMUSG00000044080","P56565",0.887000205468879,0.0184319857815543,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Rpl7","ENSMUSG00000043716","P14148",-0.851201909872001,0.0315640477327703,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Ccn2","ENSMUSG00000019997","P29268",-0.805141727240135,0.053255260087986,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Nxph3","ENSMUSG00000046719","Q91VX5",0.833046248431248,0.0394835354423203,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"F11r","ENSMUSG00000038235","O88792",0.827062907411024,0.0422748215967429,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Mrpl3","ENSMUSG00000032563","Q99N95",0.934719638146525,0.00625319149754604,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Rpl7a","ENSMUSG00000062647","P12970",-0.914772523323823,0.01058604978895,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Rps12","ENSMUSG00000061983","P63323",-0.958829526682557,0.00250761967156558,-0.942857142857143,0.00480466472303207,0.802054158795633,0.309943773427738
"Thra","ENSMUSG00000058756","P63058",-0.789821734859538,0.0616200524540926,-0.942857142857143,0.00480466472303207,0.947641035636696,0.309943773427738
"Vsnl1","ENSMUSG00000054459","P62761",0.870590895060423,0.0240364858692232,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Aamdc","ENSMUSG00000035642","Q8R0P4",-0.836026174278454,0.0381267070892059,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Mob1a","ENSMUSG00000043131","Q921Y0",-0.979939211635781,0.000599616260703401,-0.942857142857143,0.00480466472303207,0.802054158795633,0.309943773427738
"Park7","ENSMUSG00000028964","Q99LX0",-0.928465196200311,0.00749281227596903,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Bod1","ENSMUSG00000044502","Q5SQY2",-0.925967983209602,0.0080182341653645,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Tulp3","ENSMUSG00000001521","O88413",-0.88989039900545,0.0175186951060169,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Serping1","ENSMUSG00000023224","P97290",-0.879522265211078,0.0208979666623519,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Plcd4","ENSMUSG00000026173","Q8K3R3",-0.878762656768309,0.0211567369465271,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Cnst","ENSMUSG00000038949","Q8CBC4",-0.821462950931057,0.0449677399552759,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Pmch","ENSMUSG00000035383","P56942",-0.950078094688267,0.00367608734284101,-0.942857142857143,0.00480466472303207,0.900477143424256,0.309943773427738
"Tmem25","ENSMUSG00000002032","Q9DCF1",-0.814764522991668,0.0482903562190981,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Blvra","ENSMUSG00000001999","Q9CY64",0.771778337982879,0.0721842133940478,0.942857142857143,0.00480466472303207,0.96506244105041,0.309943773427738
"Yme1l1","ENSMUSG00000026775","O88967",0.915150592728747,0.0104936995303632,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Dock1","ENSMUSG00000058325","Q8BUR4",-0.642523773349834,0.168843069013533,-0.942857142857143,0.00480466472303207,0.977938601459355,0.309943773427738
"Abcb9","ENSMUSG00000029408","Q9JJ59",-0.980106618893155,0.000589683548707511,-0.942857142857143,0.00480466472303207,0.802054158795633,0.309943773427738
"Rpl5","ENSMUSG00000058558","P47962",-0.895126992205209,0.0159208067405014,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Src","ENSMUSG00000027646","P05480",-0.808767450856274,0.0513581553400914,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Rilpl1","ENSMUSG00000029392","Q9JJC6",-0.871244199133186,0.0237998239301989,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Gnaq","ENSMUSG00000024639","P21279",-0.823099158666344,0.0441729021995942,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Scp2","ENSMUSG00000028603","P32020",-0.918760036313251,0.00963180844392201,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Abr","ENSMUSG00000017631","Q5SSL4",-0.831200469417596,0.0403350960141874,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Ptcd3","ENSMUSG00000063884","Q14C51",-0.96005985159228,0.00236096661124191,-0.942857142857143,0.00480466472303207,0.802054158795633,0.309943773427738
"Ypel5","ENSMUSG00000039770","P62700",0.958622002478715,0.00253278558330193,0.942857142857143,0.00480466472303207,0.802054158795633,0.309943773427738
"Tcerg1","ENSMUSG00000024498","Q8CGF7",-0.896925740945656,0.0153889082457612,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Nop16","ENSMUSG00000025869","Q9CPT5",-0.670825099083069,0.144700116316279,-0.942857142857143,0.00480466472303207,0.977938601459355,0.309943773427738
"Ddx21","ENSMUSG00000020075","Q9JIK5",0.778305606699677,0.0682746432256627,0.942857142857143,0.00480466472303207,0.955977320359327,0.309943773427738
"Slc6a9","ENSMUSG00000028542","P28571",-0.890248274615208,0.0174071578586793,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Atp5pb","ENSMUSG00000000563","Q9CQQ7",0.896518466884686,0.0155085792862309,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Pecam1","ENSMUSG00000020717","Q08481",-0.949036582540689,0.00382972200312635,-0.942857142857143,0.00480466472303207,0.900477143424256,0.309943773427738
"Nrip3","ENSMUSG00000034825","Q9JJR9",0.939346898641931,0.00540663278118287,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Gpd2","ENSMUSG00000026827","Q64521",-0.926404569555363,0.00792512407283991,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Slitrk3","ENSMUSG00000048304","Q810B9",-0.851975673495166,0.0312451064527894,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Lifr","ENSMUSG00000054263","P42703",-0.678847748178174,0.138146529342153,-0.942857142857143,0.00480466472303207,0.977938601459355,0.309943773427738
"Dapk1","ENSMUSG00000021559","Q80YE7",-0.927997495292908,0.00758989754886231,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Fads3","ENSMUSG00000024664","Q9JJE7",0.881833036400577,0.0201201387911948,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Ift140","ENSMUSG00000024169","E9PY46",0.889561876226877,0.017621385113107,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Nudt21","ENSMUSG00000031754","Q9CQF3",0.811489120189829,0.0499550332380351,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Ciapin1","ENSMUSG00000031781","Q8WTY4",-0.841727759881987,0.0355927851092337,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Rpn2","ENSMUSG00000027642","Q9DBG6",0.873546871185121,0.02297457301793,0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
"Gabra5","ENSMUSG00000055078","Q8BHJ7",-0.835903111614139,0.0381822999920983,-0.942857142857143,0.00480466472303207,0.943577889270977,0.309943773427738
